iter	RMSE
0	9.338027984
1	8.903247102
2	8.490961724
3	8.100326382
4	7.729808136
5	7.378954189
6	7.046302953
7	6.71821939
8	6.404872868
9	6.108450267
10	5.826728703
11	5.560453131
12	5.307335553
13	5.066582061
14	4.839008051
15	4.62178166
16	4.417275281
17	4.222878495
18	4.040245022
19	3.86575083
20	3.701487388
21	3.546237248
22	3.398991334
23	3.259892699
24	3.128665396
25	3.005737448
26	2.888840465
27	2.779453412
28	2.675414243
29	2.57877199
30	2.487076259
31	2.401788009
32	2.320462651
33	2.244126003
34	2.172674841
35	2.106507626
36	2.044790281
37	1.986831988
38	1.932557332
39	1.881554318
40	1.834150932
41	1.790299445
42	1.749672226
43	1.712318199
44	1.676754187
45	1.644488827
46	1.614085866
47	1.585757085
48	1.560327001
49	1.536313725
50	1.513880614
51	1.493380179
52	1.474301377
53	1.456803942
54	1.440867421
55	1.426373922
56	1.412571973
57	1.399862053
58	1.378193789
59	1.367521313
60	1.357664192
61	1.348646947
62	1.34037446
63	1.324504353
64	1.316981763
65	1.310286401
66	1.29560058
67	1.289982639
68	1.277418991
69	1.265847774
70	1.261590353
71	1.257757518
72	1.253803029
73	1.244111537
74	1.240541847
75	1.233133039
76	1.221808858
77	1.213836676
78	1.206680162
79	1.204154752
80	1.200043106
81	1.191883372
82	1.183958502
83	1.180706981
84	1.175328087
85	1.170383464
86	1.166144029
87	1.164658265
88	1.163367857
89	1.157212006
90	1.153227116
91	1.151924348
92	1.146941476
93	1.145834903
94	1.142909127
95	1.139290989
96	1.136439482
97	1.134024473
98	1.13305325
99	1.13223848
100	1.131443226
101	1.12920135
102	1.122542815
103	1.121886849
104	1.120016103
105	1.118851072
106	1.116568439
107	1.113062943
108	1.110046512
109	1.109013343
110	1.108482514
111	1.107766845
112	1.105771162
113	1.102875092
114	1.101368526
115	1.098618949
116	1.09807268
117	1.095587756
118	1.094447317
119	1.091534659
120	1.091108976
121	1.089698135
122	1.08920655
123	1.088495297
124	1.086940877
125	1.085340249
126	1.083896328
127	1.08323849
128	1.08196564
129	1.079292957
130	1.078837827
131	1.076819723
132	1.076312981
133	1.075095455
134	1.074749601
135	1.074354844
136	1.073946762
137	1.07045997
138	1.06985084
139	1.0686395
140	1.066134161
141	1.065716177
142	1.064802422
143	1.063961886
144	1.062817769
145	1.061684716
146	1.058851297
147	1.05859176
148	1.058173504
149	1.05676147
150	1.055932607
151	1.055531163
152	1.054884171
153	1.053264201
154	1.051749986
155	1.051203828
156	1.050894836
157	1.048878138
158	1.047992562
159	1.047305166
160	1.045673572
161	1.045227988
162	1.044760883
163	1.044613227
164	1.044138202
165	1.043661971
166	1.042218275
167	1.041691752
168	1.04144942
169	1.041073326
170	1.040683863
171	1.040495318
172	1.040021871
173	1.039697524
174	1.039251751
175	1.03836289
176	1.037517409
177	1.037075299
178	1.035297838
179	1.034945778
180	1.032595429
181	1.032106808
182	1.030630082
183	1.030139928
184	1.029286542
185	1.028128221
186	1.027461746
187	1.027015729
188	1.026651045
189	1.026380359
190	1.026163871
191	1.025573468
192	1.02534122
193	1.024403148
194	1.024155468
195	1.023487293
196	1.022870373
197	1.021313081
198	1.020432919
199	1.01977107
200	1.018431411
201	1.017382971
202	1.016058119
203	1.015858319
204	1.01540768
205	1.013984337
206	1.012572988
207	1.012036091
208	1.011369946
209	1.010392393
210	1.009899099
211	1.009684475
212	1.009477111
213	1.00871286
214	1.00796376
215	1.007718918
216	1.007339711
217	1.006770504
218	1.005659327
219	1.0053125
220	1.005093546
221	1.00406302
222	1.003760045
223	1.003407731
224	1.001841332
225	1.001404974
226	1.000320182
227	0.999621841
228	0.9992765921
229	0.998670504
230	0.9979733613
231	0.9972358868
232	0.996995231
233	0.9968110774
234	0.9966908284
235	0.9965504766
236	0.9961052457
237	0.9959934965
238	0.9958065684
239	0.9956341516
240	0.9946055553
241	0.9943464803
242	0.9942456521
243	0.9936314732
244	0.9934529031
245	0.9924350441
246	0.9922468541
247	0.9920143857
248	0.9917343585
249	0.9913911164
250	0.9910179395
251	0.990844013
252	0.9906546366
253	0.9905276816
254	0.9902684516
255	0.9896659789
256	0.9886909451
257	0.9885860737
258	0.9885027495
259	0.9880208801
260	0.9878825315
261	0.9877511275
262	0.9875725496
263	0.9870177874
264	0.9867781579
265	0.9865421026
266	0.9859267258
267	0.9857151562
268	0.985156843
269	0.9846395104
270	0.9844664464
271	0.98430667
272	0.9841395796
273	0.9839011282
274	0.9831871688
275	0.9829587791
276	0.9828616588
277	0.9820602694
278	0.981892573
279	0.981386217
280	0.9810741321
281	0.980949439
282	0.9802948019
283	0.9800990842
284	0.9797330063
285	0.9787415465
286	0.978547647
287	0.9780469152
288	0.9778327707
289	0.977654397
290	0.9773327491
291	0.9770762359
292	0.9764159099
293	0.9760495929
294	0.9758634602
295	0.9754961329
296	0.9751109594
297	0.9750371178
298	0.9747738233
299	0.9746067481
300	0.9743680988
301	0.9742122784
302	0.9740391641
303	0.9737072616
304	0.9734575301
305	0.9730210479
306	0.9728279057
307	0.972698872
308	0.9725403258
309	0.9722353533
310	0.9721047163
311	0.9716219819
312	0.9712527571
313	0.9711302118
314	0.9707560102
315	0.9705982649
316	0.9704381856
317	0.9702905897
318	0.9701775485
319	0.9697560414
320	0.9691964911
321	0.9689522753
322	0.9683916641
323	0.9680042125
324	0.9677917379
325	0.9672385444
