iter	Passed	Remaining
0	942	1412792
1	1743	1305939
2	2718	1356633
3	3650	1365211
4	4671	1396672
5	5618	1399066
6	6642	1416839
7	7481	1395209
8	8324	1379124
9	9130	1360436
10	9887	1338383
11	10737	1331449
12	11547	1320802
13	12340	1309818
14	12973	1284365
15	13681	1268930
16	14404	1256607
17	15227	1253745
18	16039	1250204
19	16660	1232906
20	17425	1227282
21	18051	1212736
22	18675	1199320
23	19274	1185407
24	20083	1184946
25	20856	1182412
26	21516	1173856
27	22334	1174139
28	23194	1176503
29	24000	1176042
30	24702	1170563
31	25415	1165914
32	26064	1158699
33	26747	1153280
34	27402	1146970
35	28075	1141750
36	28862	1141257
37	29584	1138209
38	30222	1132182
39	30831	1125336
40	31638	1125852
41	32322	1122065
42	33142	1122979
43	33889	1121422
44	34529	1116466
45	35251	1114258
46	36008	1113206
47	36629	1108042
48	37343	1105835
49	38110	1105210
50	38731	1100422
51	39345	1095627
52	39938	1090401
53	40733	1090740
54	41444	1088864
55	42168	1087339
56	42791	1083308
57	43581	1083537
58	44430	1085149
59	45286	1086877
60	46245	1090938
61	48752	1130733
62	50157	1144078
63	51225	1149369
64	52084	1149854
65	52812	1147472
66	53817	1151052
67	54747	1152913
68	55686	1154891
69	56665	1157603
70	57498	1157265
71	58238	1155065
72	59191	1157068
73	60060	1157379
74	60779	1154818
75	61576	1153755
76	62411	1153396
77	63639	1160189
78	64741	1164527
79	65473	1162162
80	66374	1162776
81	67215	1162340
82	68078	1162258
83	68886	1161232
84	69830	1162476
85	70641	1161472
86	71594	1162790
87	72269	1159603
88	73116	1159176
89	73936	1158342
90	74885	1159495
91	75531	1155963
92	76317	1154614
93	77097	1153178
94	77873	1151711
95	78684	1150763
96	79576	1150987
97	80386	1150017
98	81120	1147984
99	81871	1146196
100	82586	1143944
101	83324	1142038
102	84066	1140196
103	84792	1138173
104	85489	1135788
105	86143	1132870
106	86978	1132343
107	87788	1131490
108	88575	1130349
109	89309	1128545
110	89967	1125808
111	90734	1124454
112	91515	1123288
113	92322	1122447
114	93309	1123768
115	94181	1123685
116	94823	1120863
117	95612	1119800
118	96305	1117628
119	97061	1116208
120	97948	1116292
121	98647	1114232
122	99312	1111813
123	99941	1109030
124	100773	1108510
125	101572	1107625
126	102425	1107328
127	103143	1105574
128	103897	1104212
129	104706	1103442
130	105518	1102708
131	106435	1103053
132	107145	1101267
133	107897	1099912
134	108773	1099818
135	109591	1099133
136	110421	1098576
137	111334	1098825
138	112145	1098058
139	112941	1097148
140	113790	1096747
141	114736	1097271
142	115541	1096431
143	116216	1094370
144	117090	1094194
145	117976	1094110
146	118801	1093460
147	119531	1091934
148	120310	1090873
149	121014	1089131
150	121770	1087870
151	122551	1086836
152	123189	1084552
153	123842	1082412
154	124677	1081878
155	125555	1081707
156	126343	1080764
157	127180	1080228
158	128055	1080019
159	128853	1079148
160	129653	1078298
161	130415	1077135
162	131226	1076378
163	131994	1075271
164	132710	1073747
165	133310	1071299
166	134153	1070820
167	134986	1070249
168	135774	1069321
169	136702	1069494
170	137505	1068684
171	138368	1068330
172	139102	1066988
173	139708	1064676
174	140338	1062559
175	141133	1061706
176	142048	1061752
177	142751	1060206
178	143589	1059672
179	144463	1059397
180	145301	1058851
181	146133	1058263
182	146960	1057637
183	147784	1056982
184	148510	1055625
185	149251	1054392
186	149913	1052603
187	150567	1050768
188	151337	1049751
189	152236	1049627
190	153046	1048888
191	153915	1048546
192	154597	1046936
193	155435	1046385
194	156204	1045371
195	157033	1044755
196	157834	1043950
197	158535	1042490
198	159407	1042156
199	160165	1041074
200	160903	1039871
201	161727	1039216
202	162524	1038396
203	163210	1036865
204	163996	1035976
205	164801	1035207
206	165644	1034678
207	166487	1034144
208	167274	1033261
209	168092	1032565
210	168885	1031721
211	169717	1031114
212	170517	1030308
213	171342	1029653
214	172196	1029174
215	172972	1028224
216	173721	1027119
217	174606	1026812
218	175296	1025363
219	175999	1023995
220	176886	1023700
221	177647	1022675
222	178377	1021470
223	179014	1019744
224	179914	1019516
225	180810	1019259
226	181568	1018221
227	182484	1018069
228	183407	1017952
229	184260	1017436
230	185010	1016356
231	185762	1015287
232	186364	1013409
233	187111	1012323
234	187836	1011122
235	188589	1010072
236	189301	1008807
237	190080	1007906
238	190865	1007036
239	191733	1006601
240	192501	1005640
241	193371	1005211
242	194200	1004567
243	195064	1004099
244	195827	1003114
245	196561	1001984
246	197284	1000799
247	198099	1000080
248	198825	998916
249	199594	997971
250	200374	997081
251	201123	996040
252	201957	995416
253	202613	993925
254	203356	992860
255	204252	992540
256	204892	990976
257	205731	990383
258	206367	988812
259	207123	987817
260	207912	986987
261	208669	986005
262	209459	985177
263	210196	984103
264	211006	983368
265	211891	982984
266	212580	981691
267	213274	980427
268	214061	979589
269	214884	978919
270	215711	978261
271	216539	977613
272	217230	976342
273	218042	975620
274	218761	974484
275	219582	973799
276	220314	972722
277	221001	971454
278	221723	970339
279	222476	969362
280	223015	967458
281	223874	966946
282	224580	965774
283	225368	964958
284	226153	964129
285	226902	963144
286	227728	962490
287	228479	961519
288	229243	960600
289	229953	959459
290	230709	958515
291	231507	957742
292	232226	956645
293	233131	956316
294	233924	955521
295	234716	954723
296	235433	953625
297	236242	952897
298	237065	952225
299	237727	950910
300	238642	950607
301	239338	949429
302	240009	948157
303	240716	947030
304	241538	946356
305	242464	946087
306	243365	945715
307	244265	945339
308	245134	944838
309	245937	944081
310	246788	943511
311	247575	942693
312	248348	941818
313	249145	941038
314	250070	940741
315	250858	939925
316	251565	938808
317	252344	937959
318	253041	936809
319	253866	936132
320	254608	935151
321	255373	934254
322	256143	933378
323	256793	932066
324	257511	931004
325	258352	930386
326	259028	929174
327	259701	927956
328	260458	927043
329	261173	925980
330	262119	925732
331	262901	924907
332	263746	924300
333	264455	923218
334	265186	922214
335	266011	921539
336	266807	920764
337	267665	920198
338	268376	919130
339	269130	918208
340	269838	917133
341	270586	916195
342	271299	915141
343	272009	914079
344	272987	913914
345	273665	912746
346	274525	912184
347	275503	912010
348	276314	911282
349	277250	910967
350	278218	910750
